"Менеджер","Контрагент","Итого","cnt_first","cnt_second"
Самбурова Ольга Владиславовна,ЖитковичиЛогистика АО (МОЛДОВА),42562.56,1,0
Белозерский Денис Александрович,ЧувашияТех ООО,519267.11,3,3
Белозерский Денис Александрович,АЛЬФА-8 ООО,68007.24,2,2
Белозерский Денис Александрович,СеверЭнерго АО (ГРУЗИЯ),83366.07,1,0
Лавар Владимир Игоревич,ТАУ-ПЛЮС ООО,64605.44,2,3
Грозова Лариса Николаевна,ИркутскФинанс АО,16146.00,0,1
Лавар Владимир Игоревич,РО-МАШ ООО,103899.20,2,0
Катынкина Елена Александровна,НовополоцкЭкспорт АО (БЕЛАРУСЬ),5054.40,1,0
Белозерский Денис Александрович,ИПСИЛОН-ПРОМ ООО,26661.63,2,0
Лавар Владимир Игоревич,НаровляИндустрия ООО (БЕЛОРУСЬ),95891.04,3,3
Нечесова Наталья Валерьевна,КСИ-МАШ ООО,545924.10,4,3
Белозерский Денис Александрович,АЛЬФА-5 ООО,23514.39,2,1
Лавар Владимир Игоревич,ТАУ-ЭЛЕКТРО ООО,119646.12,5,3
Марина Кондратьева,БерезаЭнерго ТОО (БЕЛАРУСЬ),5752383.06,6,5
Рудова Евгения Константиновна,ЗетаЭнерго АО (МОЛДОВА),345751.20,3,1
Белозерский Денис Александрович,ЖодиноТех ТОО (ТУРКМЕНИСТАН),5149.98,0,1
Кузьмин Игорь Дмитриевич,КостюковичиМед ООО (БЕЛАРУСЬ),25272.00,0,1
Белозерский Денис Александрович,ПИ-ПРОМ ООО,7460.72,1,0
Белозерский Денис Александрович,ФЕДЕРАЛ-КОМ ООО,17073.50,2,0
Самбурова Ольга Владиславовна,БрагинСервис ООО (БЕЛОРУСЬ),67836.00,0,1
Лавар Владимир Игоревич,КызылордаИнвест АО (КАЗАХСТАН),6160969.90,5,5
Грозова Лариса Николаевна,"ООО ""СР-Дортех""",2649.60,0,1
Рудова Евгения Константиновна,НовополоцкМед ТОО (БЕЛАРУСЬ),481100.54,3,0
Грозова Лариса Николаевна,"ОАО ""СТБ""",103813.02,2,1
Катынкина Елена Александровна,ДонецкИнновации АО,10846.66,1,0
Нечесова Наталья Валерьевна,ЭПСИЛОН-СТРОЙ ООО,3714899.17,5,4
Антоненко Ольга Александровна,ШкловМед АО (УКРАИНА),230174.41,2,4
Самбурова Ольга Владиславовна,УшачиЛогистика ТОО (АРМЕНИЯ),35199.36,1,1
Белозерский Денис Александрович,ФИ-ПРОМ ООО,328843.11,2,1
Самбурова Ольга Владиславовна,КарагандаЭкспорт ТОО (КИРГИЗИЯ),4133.47,1,0
Белозерский Денис Александрович,ОПТИМА-КОМ ООО,959162.60,4,3
Антоненко Ольга Александровна,ТуровТранс ТОО (КАЗАХСТАН),85782.16,3,0
Белозерский Денис Александрович,ИНТЕРНЕТ-КОМ ООО,348244.90,0,1
Белозерский Денис Александрович,ОМЕГА-КОМ ООО,785427.62,5,2
Катынкина Елена Александровна,КомиЛогистика ОАО,29721.60,4,0
Самбурова Ольга Владиславовна,ЛьвовЛогистика АО (МОЛДОВА),58103.16,3,1
Самбурова Ольга Владиславовна,ЛюбаньИнновации ТОО (КАЗАХСТАН),458316.00,2,2
Самбурова Ольга Владиславовна,ЛиозноПроект ТОО (КИРГИЗИЯ),38844.00,0,1
Грозова Лариса Николаевна,ДЯДЯ ПЕТЯ ООО,8290.70,2,0
Махоткина Ирина Юрьевна,ГлубокоеПроект АО (БЕЛАРУСЬ),299376.00,0,1
Самбурова Ольга Владиславовна,КлимовичиСервис ООО (БЕЛОРУСЬ),24793.92,0,1
Белозерский Денис Александрович,КСИ-ТОРГ ООО,189576.16,2,2
Мусина Елена Константиновна,КричевМед ООО (БЕЛАРУСЬ),437691.60,1,0
Махоткина Ирина Юрьевна,КировскЭнерго ТОО (БЕЛАРУСЬ),46433.52,1,0
Грозова Лариса Николаевна,"АО ""АМНГР""",13946.16,0,1
Рудова Евгения Константиновна,МиорыИнновации ООО (БЕЛАРУСЬ),388141.20,0,2
Леонов Евгений Николаевич,СтолбцыФарма АО (БЕЛАРУСЬ),2435.40,1,0
Антоненко Ольга Александровна,СтолбцыЛогистика ТОО (АРМЕНИЯ),100956.40,4,1
Нечесова Наталья Валерьевна,"Союз ""Торгово-промышленная палата Орловской области""",1025753.03,3,3
Рудова Евгения Константиновна,ФиннКонсалт АО (МОЛДОВА),58190.40,0,1
Белозерский Денис Александрович,КСИ-КОМ ООО,450430.27,4,2
Грозова Лариса Николаевна,"ООО ""НПО «Ликом»""",6195.46,1,0
Катынкина Елена Александровна,МозырьМед АО (БЕЛАРУСЬ),7467.55,1,1
Белозерский Денис Александрович,РО-СТРОЙ ООО,3997.30,1,0
Антоненко Ольга Александровна,ШкловТранс АО (ГРУЗИЯ),101157.06,2,2
Кузьмин Игорь Дмитриевич,СлавгородИнвест ООО (БЕЛАРУСЬ),2046.82,1,1
Белозерский Денис Александрович,СветлогорскКом АО (РОССИЯ),709032.55,3,0
Самбурова Ольга Владиславовна,РоссоныЭкспорт АО (УКРАИНА),13464.00,1,0
Махоткина Ирина Юрьевна,ГлускТех ООО (БЕЛАРУСЬ),19038.60,1,0
Нечесова Наталья Валерьевна,ОМЕГА-ЭНЕРГО ООО,4172389.68,6,5
Грозова Лариса Николаевна,ЭкваторТранс ТОО,10200.00,0,1
Рудова Евгения Константиновна,СтавропольИндустрия ТОО (АРМЕНИЯ),184939.20,3,1
Кузьмин Игорь Дмитриевич,ХотимскКом ТОО (БЕЛАРУСЬ),230822.05,0,2
Самбурова Ольга Владиславовна,ВерхнедвинскКом ТОО (ТУРКМЕНИСТАН),1310.88,1,0
Леонов Евгений Николаевич,ДубровноМед ТОО (БЕЛАРУСЬ),25640.82,2,0
Грозова Лариса Николаевна,"ООО ""ИЦ Энергетики""",2053.92,1,0
Белозерский Денис Александрович,КировскСтрой АО (БЕЛАРУСЬ),511134.33,5,4
Мусина Елена Константиновна,СтолбцыЭкспорт ТОО (БЕЛАРУСЬ),57112.87,1,0
Белозерский Денис Александрович,ЙОТА-ЭЛЕКТРО ООО,13256.34,1,0
Белозерский Денис Александрович,СИГМА-ЭЛЕКТРО ООО,99828.77,2,0
Самбурова Ольга Владиславовна,ПинскСервис ТОО (АРМЕНИЯ),9593.76,0,1
Грозова Лариса Николаевна,А-Реал Консалтинг,5548.20,1,0
Белозерский Денис Александрович,РО-ПЛЮС ООО,190912.68,0,1
Антоненко Ольга Александровна,НовополоцкПроект ООО (УЗБЕКИСТАН),390041.97,3,3
Леонов Евгений Николаевич,ХойникиТрейд АО (БЕЛАРУСЬ),427302.12,3,1
Грозова Лариса Николаевна,"ООО Производственно-торговая фирма ""Авиатор""",14192.64,1,0
Антоненко Ольга Александровна,ДубровноКом ТОО (ТУРКМЕНИСТАН),2408.00,1,0
Грозова Лариса Николаевна,"ОАО ""ПОЛИФАРМ""",7776.00,0,1
Рудова Евгения Константиновна,БорисовЛогистика АО (БЕЛАРУСЬ),110413.10,0,2
Белозерский Денис Александрович,ЭФФЕКТ-ПЛЮС ООО,594508.16,3,4
Белозерский Денис Александрович,ЦЕНТР-КОМ ООО,256524.47,0,3
Антоненко Ольга Александровна,ТуркестанФарма ООО (УЗБЕКИСТАН),2918554.13,6,1
Рудова Евгения Константиновна,ЧашникиЭнерго ООО (БЕЛАРУСЬ),4676.83,1,0
Махоткина Ирина Юрьевна,НовополоцкКом АО (БЕЛАРУСЬ),76731.27,1,0
Кузнецов Евгений Васильевич,СолигорскМед ООО (БЕЛАРУСЬ),948772.21,2,3
Грозова Лариса Николаевна,"АО ""ЗАВОД АВТОСВЕТ""",114882.96,1,0
Самбурова Ольга Владиславовна,ЛюбаньКонсалт ООО (АЗЕРБАЙДЖАН),2580.17,0,1
Махоткина Ирина Юрьевна,КраснопольеЛогистика ООО (БЕЛАРУСЬ),87412.17,2,0
Леонов Евгений Николаевич,СенненскийИнвест АО (БЕЛАРУСЬ),74747.72,1,2
Антоненко Ольга Александровна,КричевИндустрия ТОО (АРМЕНИЯ),213.00,0,1
Рудова Евгения Константиновна,КемеровоМаш АО (УКРАИНА),218592.00,3,0
Грозова Лариса Николаевна,"ОАО ""НАК ""АКИ-ОТЫР""",3236.69,1,0
Самбурова Ольга Владиславовна,КостюковичиМед ООО (УЗБЕКИСТАН),571863.60,1,2
Белозерский Денис Александрович,НЮ-ИНВЕСТ ООО,803536.61,5,4
Рудова Евгения Константиновна,ДраконЭкспорт ТОО (КИРГИЗИЯ),2354.40,1,0
Лавар Владимир Игоревич,ШкловЭнерго ТОО (ТУРКМЕНИСТАН),126389.49,2,2
Белозерский Денис Александрович,ОРБИТА-КОМ ООО,841321.23,1,1
Грозова Лариса Николаевна,"АО ""АКРИХИН""",6034.75,1,0
Кузьмин Игорь Дмитриевич,ОршаЭкспорт АО (БЕЛАРУСЬ),1616.80,1,0
Грозова Лариса Николаевна,"ПАО ""ИЛ""",4222.80,1,0
Катынкина Елена Александровна,АдыгеяСтрой АО,133134.12,3,1
Грозова Лариса Николаевна,ХиХимия ООО,11140.20,2,0
Белозерский Денис Александрович,ХабаровскИндустрия АО,35756.23,1,2
Лавар Владимир Игоревич,АЛЬФА-20 ООО,1359612.10,3,2
Рудова Евгения Константиновна,ЛямбдаЭкспорт ТОО (КАЗАХСТАН),142662.08,2,3
Лавар Владимир Игоревич,НЮ-ЭНЕРГО ООО,144752.70,1,2
Белозерский Денис Александрович,ПИ-ИНВЕСТ ООО,81116.63,3,2
Грозова Лариса Николаевна,"ООО ""АКСАИТОВНЕФТЬ""",55604.40,2,0
Белозерский Денис Александрович,ОЛИМП-ПРОМ ООО,3133104.66,6,3
Самбурова Ольга Владиславовна,КлимовичиЭкспорт ООО (УЗБЕКИСТАН),1301479.20,1,4
Белозерский Денис Александрович,КОМПЛЕКС-МАШ ООО,659746.44,0,3
Белозерский Денис Александрович,ИПСИЛОН-КОМ ООО,10314.43,2,0
Махоткина Ирина Юрьевна,ГоркиКом ТОО (БЕЛАРУСЬ),61647.72,0,1
Белозерский Денис Александрович,ЭТА-МАШ ООО,29831.54,1,2
Грозова Лариса Николаевна,"ООО КБ ""КАПИТАЛ КРЕДИТ""",5140.80,1,0
Грозова Лариса Николаевна,ЧувашияТех ООО,32236.80,1,0
Махоткина Ирина Юрьевна,БорисовИнвест АО (БЕЛАРУСЬ),1235872.88,4,3
Кузьмин Игорь Дмитриевич,СлуцкСервис ООО (БЕЛАРУСЬ),2277.90,1,0
Антоненко Ольга Александровна,ОршаМед АО (УКРАИНА),110.00,0,1
Грозова Лариса Николаевна,МоскваИнновации АО,786.53,1,0
Грозова Лариса Николаевна,"АО ""ВМП ""АВИТЕК""",19878.33,1,0
Катынкина Елена Александровна,ЭкибастузЭнерго ТОО (КАЗАХСТАН),6014.02,1,0
Грозова Лариса Николаевна,Арчединский комбинат хлебопродуктов,58468.06,3,1
Антоненко Ольга Александровна,ЧаусыМаш ТОО (ТУРКМЕНИСТАН),94329.22,1,1
Белозерский Денис Александрович,ГАММА-ИНВЕСТ ООО,64065.50,2,0
Катынкина Елена Александровна,СевернаяОсетияСтроительство ООО,7086.15,1,0
Самбурова Ольга Владиславовна,КобринИндустрия АО (МОЛДОВА),544648.80,1,2
Антоненко Ольга Александровна,УНИКОН ООО,44992.63,0,2
Мусина Елена Константиновна,ЧериковЭнерго ТОО (БЕЛАРУСЬ),147057.12,2,0
Махоткина Ирина Юрьевна,ШкловЭкспорт АО (БЕЛАРУСЬ),33781.59,0,2
Махоткина Ирина Юрьевна,ТуровМед ТОО (БЕЛАРУСЬ),29812.96,1,0
Грозова Лариса Николаевна,"ЗАО ""ГК ""АСТОРИЯ""",17043.62,1,1
Белозерский Денис Александрович,НОВОСИБИРСК ООО,84240.00,1,0
Антоненко Ольга Александровна,ХотимскМед ТОО (КИРГИЗИЯ),93367.61,1,0
Леонов Евгений Николаевич,ГлубокоеТрейд АО (БЕЛАРУСЬ),45830.52,1,0
Леонов Евгений Николаевич,МогилевФарма ООО (БЕЛАРУСЬ),38332.32,1,0
Самбурова Ольга Владиславовна,КлимовичиТех ТОО (ТУРКМЕНИСТАН),93060.00,2,0
Самбурова Ольга Владиславовна,МиорыТрейд ООО (АЗЕРБАЙДЖАН),20363.40,2,0
Грозова Лариса Николаевна,ЙотаЛогистика АО,2373008.31,6,2
Рудова Евгения Константиновна,БраславПроект АО (БЕЛАРУСЬ),11598.48,1,0
Грозова Лариса Николаевна,РязаньЭкспорт ТОО,41229.12,1,0
Нечесова Наталья Валерьевна,МЮ-ПРОД ООО,1007017.31,4,4
Антоненко Ольга Александровна,ВеткаКом ООО (ТАДЖИКИСТАН),6739.25,1,0
Антоненко Ольга Александровна,МиорыПроект ООО (УЗБЕКИСТАН),178162.72,1,1
Рудова Евгения Константиновна,ОктябрьскийКом АО (БЕЛАРУСЬ),151505.42,1,1
Леонов Евгений Николаевич,ПолоцкИнновации ООО (БЕЛАРУСЬ),20614.68,0,1
Белозерский Денис Александрович,РУБИН-ТЕХ ООО,15989.76,1,0
Антоненко Ольга Александровна,ТуровФарма АО (УКРАИНА),19842.26,1,0
Грозова Лариса Николаевна,ОмикронМед ООО,132965.88,0,2
Мусина Елена Константиновна,ИвановоТрейд ООО (БЕЛАРУСЬ),50122.80,1,0
Антоненко Ольга Александровна,РоссоныФарма ТОО (КИРГИЗИЯ),3116.00,1,0
Грозова Лариса Николаевна,"ООО ""МЕГАПРОМ-УРАЛ""",939127.50,6,5
Рудова Евгения Константиновна,ДубровноМед ООО (БЕЛАРУСЬ),1363359.77,3,4
Самбурова Ольга Владиславовна,МикашевичиКонсалт АО (ГРУЗИЯ),111333.60,1,1
Мусина Елена Константиновна,БыховТрейд ООО (БЕЛАРУСЬ),5779.44,1,0
Белозерский Денис Александрович,ЗЕТА-ЭЛЕКТРО ООО,777861.67,2,0
Самбурова Ольга Владиславовна,ГлускЭнерго ООО (ТАДЖИКИСТАН),756.96,1,0
Рудова Евгения Константиновна,ЩукаЭнерго ООО (УЗБЕКИСТАН),1088427.36,3,1
Кузьмин Игорь Дмитриевич,ЧаусыЭкспорт АО (БЕЛАРУСЬ),36388.42,1,1
Катынкина Елена Александровна,ТаразЛогистика ТОО (КАЗАХСТАН),1002.00,0,1
Белозерский Денис Александрович,Арчединский комбинат хлебопродуктов,10708.93,2,0
Самбурова Ольга Владиславовна,ХантыМансийскийЭнерго АО (РОССИЯ),275146.32,2,1
Грозова Лариса Николаевна,АрктикаИнвест ТОО,52992.00,0,1
Грозова Лариса Николаевна,ФиФарма ОАО,1205.53,1,0
Лавар Владимир Игоревич,ХИ-ИНЖ ООО,50426.95,2,1
Самбурова Ольга Владиславовна,НовополоцкМед ТОО (КИРГИЗИЯ),2933.42,0,1
Грозова Лариса Николаевна,ВегаИнвест ООО,42670.80,2,1
Самбурова Ольга Владиславовна,ГанцевичиКонсалт ТОО (КАЗАХСТАН),7963.49,0,1
Леонов Евгений Николаевич,МикашевичиИнвест АО (БЕЛАРУСЬ),78554.16,6,3
Грозова Лариса Николаевна,НижнийНовгородКом ОАО,25143.51,0,1
Белозерский Денис Александрович,ЭТА-ТОРГ ООО,1617194.84,3,2
Грозова Лариса Николаевна,РостовСервис ТОО,2106.00,0,1
Махоткина Ирина Юрьевна,БерезаФарма ООО (БЕЛАРУСЬ),481974.49,5,3
Любецкая Юлия Михайловна,ХИ-МАШ ООО,9359.95,1,0
Рудова Евгения Константиновна,ТайгаМаш ООО (ТАДЖИКИСТАН),134960.25,3,1
Самбурова Ольга Владиславовна,БраславФинанс АО (МОЛДОВА),83466.05,2,1
Катынкина Елена Александровна,ЛуганскЭкспорт ООО,18557.21,1,0
Белозерский Денис Александрович,ПИ-СТРОЙ ООО,607558.31,5,1
Катынкина Елена Александровна,УстьКаменогорскПроект АО (КАЗАХСТАН),29743.20,1,0
Нечесова Наталья Валерьевна,ТАУ-СТРОЙ ООО,237525.95,2,2
Катынкина Елена Александровна,ЛюбаньЭнерго ООО (БЕЛАРУСЬ),2538.72,1,0
Рудова Евгения Константиновна,ИвановоЭкспорт АО (БЕЛАРУСЬ),1350062.89,6,5
Самбурова Ольга Владиславовна,СлавгородФарма ООО (УЗБЕКИСТАН),189675.60,1,2
Лавар Владимир Игоревич,КАППА-ПЛЮС ООО,92423.96,2,2
Белозерский Денис Александрович,ТАУ-ПРОМ ООО,79857.00,0,1
Белозерский Денис Александрович,СИГМА-ПЛЮС ООО,372877.86,6,4
Катынкина Елена Александровна,ХерсонПроект ТОО,15773.76,1,0
Грозова Лариса Николаевна,ООО «ЭКСЕРГИЯ-Л»,7613.28,1,0
Рудова Евгения Константиновна,ЧитаСервис АО (УКРАИНА),369309.35,0,3
Махоткина Ирина Юрьевна,ЧаусыМед ООО (БЕЛАРУСЬ),14311.80,0,1
Белозерский Денис Александрович,ДОМ-КОМФОРТ ООО,831557.96,2,4
Леонов Евгений Николаевич,КопыльЭнерго ООО (БЕЛАРУСЬ),1295208.17,0,2
Белозерский Денис Александрович,ПРОГРЕСС-ИНВЕСТ ООО,47702.83,3,0
Самбурова Ольга Владиславовна,ЖодиноИндустрия АО (МОЛДОВА),31771.08,1,0
Самбурова Ольга Владиславовна,ЗапорожьеКонсалт ООО (АЗЕРБАЙДЖАН),3077.71,1,0
Рудова Евгения Константиновна,ЯкорьИнновации ООО (ТАДЖИКИСТАН),9619.29,0,1
Антоненко Ольга Александровна,ГлускТех АО (РОССИЯ),5062.88,1,0
Леонов Евгений Николаевич,КировскСтрой АО (БЕЛАРУСЬ),9240.48,1,0
Грозова Лариса Николаевна,ПечораТранс ОАО,238154.60,1,1
Лавар Владимир Игоревич,РО-СТРОЙ ООО,2399667.15,6,5
Грозова Лариса Николаевна,"АО ""ВАО АГРОХИМЭКСПОРТ""",293061.59,1,1
Кузьмин Игорь Дмитриевич,ЧаусыМед ТОО (БЕЛАРУСЬ),14960.40,2,0
Белозерский Денис Александрович,ЭЛИТ-ТОРГ ООО,3219.07,1,0
Грозова Лариса Николаевна,"Союз ""Торгово-промышленная палата Орловской области""",10368.00,0,1
Грозова Лариса Николаевна,"ООО ""ПСК""",87574.53,1,2
Белозерский Денис Александрович,ГАММА-ПЛЮС ООО,8398.95,1,0
Самбурова Ольга Владиславовна,МозырьТех ТОО (ТУРКМЕНИСТАН),40506.70,1,0
Белозерский Денис Александрович,ХИ-ЭНЕРГО ООО,15496.41,0,2
Катынкина Елена Александровна,ЖлобинЭнерго ООО (БЕЛАРУСЬ),129557.08,1,0
Грозова Лариса Николаевна,"АО ""АВТОТОР""",148722.78,2,1
Самбурова Ольга Владиславовна,ХотимскЭкспорт ООО (УЗБЕКИСТАН),38985.91,2,0
Кузьмин Игорь Дмитриевич,МстиславльЭнерго ТОО (БЕЛАРУСЬ),340880.40,0,1
Катынкина Елена Александровна,БарановичиИндустрия ТОО (БЕЛАРУСЬ),222762.60,6,4
Рудова Евгения Константиновна,КопыльИндустрия ООО (БЕЛАРУСЬ),206211.60,0,1
Нечесова Наталья Валерьевна,НЮ-ПРОД ООО,1029069.10,6,2
Лавар Владимир Игоревич,ЭТА-ПЛЮС ООО,49520.81,3,1
Кузьмин Игорь Дмитриевич,КлимовичиЛогистика ООО (БЕЛАРУСЬ),14661.58,0,1
Рудова Евгения Константиновна,ХиМед ООО (БЕЛОРУСЬ),181451.04,3,2
Антоненко Ольга Александровна,КопыльМаш ООО (ТАДЖИКИСТАН),12900.00,0,1
Грозова Лариса Николаевна,УльяновскТрейд ОАО,327406.60,5,3
Рудова Евгения Константиновна,ЛяховичиИндустрия АО (БЕЛАРУСЬ),13623.36,0,1
Самбурова Ольга Владиславовна,СлавгородТрейд ТОО (КАЗАХСТАН),290979.36,2,2
Рудова Евгения Константиновна,АстраханьИндустрия ООО (БЕЛОРУСЬ),77835.60,2,0
Белозерский Денис Александрович,БЕТА-ЭЛЕКТРО ООО,97515.43,1,0
Леонов Евгений Николаевич,МогилевМед ТОО (БЕЛАРУСЬ),146971.68,3,0
Самбурова Ольга Владиславовна,СтарыеДорогиЛогистика АО (МОЛДОВА),40424.40,0,2
Рудова Евгения Константиновна,КостюковичиИнвест ООО (БЕЛАРУСЬ),12546.00,1,0
Леонов Евгений Николаевич,СлуцкСтрой ТОО (БЕЛАРУСЬ),586885.80,5,3
Рудова Евгения Константиновна,КосмосКом ООО (БЕЛОРУСЬ),40593.60,1,0
Самбурова Ольга Владиславовна,МикашевичиПроект ООО (УЗБЕКИСТАН),1483131.10,2,2
Рудова Евгения Константиновна,ЛунаСтроительство ТОО (КАЗАХСТАН),86784.48,1,0
Белозерский Денис Александрович,НЮ-КОМ ООО,832302.49,5,2
Грозова Лариса Николаевна,"ООО КБ ""АЛЬБА АЛЬЯНС""",17126.61,0,1
Нечесова Наталья Валерьевна,КСИ-ИНВЕСТ ООО,478956.72,3,1
Леонов Евгений Николаевич,НовополоцкПроект АО (БЕЛАРУСЬ),13979.52,1,0
Самбурова Ольга Владиславовна,ПолоцкЛогистика АО (МОЛДОВА),52492.30,1,0
Рудова Евгения Константиновна,ТамбовТранс АО (ГРУЗИЯ),11341.94,0,1
Грозова Лариса Николаевна,ЮпитерСервис АО,41738.40,0,3
Грозова Лариса Николаевна,"ООО ""Амбилайф""",50024.15,2,1
Нечесова Наталья Валерьевна,ПИ-ИНВЕСТ ООО,1428202.63,6,3
Антоненко Ольга Александровна,ЧериковФинанс АО (МОЛДОВА),1260.00,0,1
Махоткина Ирина Юрьевна,БобруйскМед ТОО (БЕЛАРУСЬ),8269.92,0,1
Рудова Евгения Константиновна,ПечораТранс ТОО (АРМЕНИЯ),75135.60,1,0
Антоненко Ольга Александровна,ОМЕГА-ПРОДУКТ ООО,4846.00,1,1
Леонов Евгений Николаевич,КричевТрейд ООО (БЕЛАРУСЬ),1955426.97,4,3
Рудова Евгения Константиновна,ВитебскИнвест ООО (БЕЛАРУСЬ),59899.68,2,0
Рудова Евгения Константиновна,ПолоцкКом АО (БЕЛАРУСЬ),22505.40,1,0
Антоненко Ольга Александровна,"ПАО АК ""РУБИН"" ПАО ""АВИАЦИОННАЯ КОРПОРАЦИЯ ""РУБИН""",32360287.27,6,5
Стешина Оксана Александровна,ГОЛЬФСТРИМ ООО,262386.90,0,1
Устинова Мария Александровна,АрктикаТех ТОО (КИРГИЗИЯ),2077664.08,6,3
Поздеев Дмитрий Михайлович,ПСИ-СТРОЙ ООО,2807267.14,6,5
Поздеев Дмитрий Михайлович,АстраханьЛогистика ТОО,8591.04,0,1
Поздеев Дмитрий Михайлович,"ООО ""ТПФ ""МашТрейд"", г. Череповец",6044294.36,4,1
Стешина Оксана Александровна,ИвановоФинанс ООО (БЕЛОРУСЬ),3524.75,1,0
Малахов Алексей Александрович,МЮ-ПРОД ООО,3553.20,1,0
Устинова Мария Александровна,ДЕЛЬТАЛОГИСТИК ООО,1511237.87,6,5
Лапаткова Мария Александровна,"ОАО "" Авиакомпания"" Омскавиа""",9140.00,1,0
Поздеев Дмитрий Михайлович,ЛАМБДАТРЕЙД ООО,137065.86,2,1
Поздеев Дмитрий Михайлович,ИвацевичиСервис ООО (БЕЛАРУСЬ),7444.92,1,0
Марина Кондратьева,ЭКОЛОГИЯ ООО,1780.00,1,0
Столяров Владимир Викторович,АЛЬФА-24 ООО,2966.80,0,1
Зарубина Мария Витальевна,ОМИКРОН-ПРОД ООО,1141845.08,1,0
Лапаткова Мария Александровна,ЧечерскПроект ООО (УЗБЕКИСТАН),11172.00,1,0
Первов Роман Игоревич,ГродноТех АО (БЕЛАРУСЬ),900000.00,0,1
Нечесова Наталья Валерьевна,КраснопольеФарма ООО (УЗБЕКИСТАН),95191.63,1,1
Стешина Оксана Александровна,ЭТАСЕРВИС ООО,1974.24,1,0
Иполитов Алексей Владимирович,ЙОТАИНВЕСТ ООО,169662.79,5,1
Устинова Мария Александровна,"ОАО АК ""УРАЛЬСКИЕ АВИАЛИНИИ""",261255.50,3,1
Устинова Мария Александровна,ЭПСИЛОНКОМП ООО,2337427.67,4,2
Муравлёв Андрей Петрович,МЮ-ЭНЕРГО ООО,23298.00,2,2
Стешина Оксана Александровна,АПОЛЛОН ООО,351017.60,1,0
Марина Кондратьева,КраснопольеМед ООО (БЕЛАРУСЬ),463758.48,3,5
Нечесова Наталья Валерьевна,МстиславльТранс ООО (АЗЕРБАЙДЖАН),571659.06,6,4
Поздеев Дмитрий Михайлович,ЙОТАТОРГ ООО,218026.40,1,2
Лапаткова Мария Александровна,ЛенаМед АО,4415.50,1,0
Чернышев Кирилл Анатольевич,ЭНЕРГОСБЫТ ООО,95098.50,1,0
Стешина Оксана Александровна,СенненскийТрейд АО (ГРУЗИЯ),167874.00,2,3
Поздеев Дмитрий Михайлович,ДрогичинТранс ООО (АЗЕРБАЙДЖАН),3958.82,0,1
Марина Кондратьева,ФОРПОСТ ООО,17114.30,0,1
Марина Кондратьева,КлимовичФарма АО (БЕЛАРУСЬ),9972.00,1,0
Поздеев Дмитрий Михайлович,ТЭТАТРАНС ООО,63683.28,0,1
Муравлёв Андрей Петрович,МЮФИНАНС ООО,343252.94,6,1
Малахов Алексей Александрович,ЭтнаЭнерго ООО,2134.20,0,1
Андреев Алексей Николаевич,"КСИ-МАШ ООО, Пермь",1583.28,1,0
Стешина Оксана Александровна,БАЛТИК-СТРОЙ ООО,12180.00,1,0
Малахов Алексей Александрович,ХИМАШ ООО,45900.00,0,2
Вигурин Владимир Олегович,"ЭТА-ИНВЕСТ ООО, Челябинск",6582.24,1,0
Поздеев Дмитрий Михайлович,"ОМИКРОН-КОМ ООО, Волгоград",130351.61,0,2
Устинова Мария Александровна,"ООО КБ ""АДМИРАЛТЕЙСКИЙ""",4278943.61,5,1
Поздеев Дмитрий Михайлович,НЮ-ИНВЕСТ ООО,216744.42,4,2
Антоненко Андрей Викторович,НЮПРОД ООО,156400.00,0,1
Лапаткова Мария Александровна,СТЕЛЛА ООО,129918.00,2,1
Поздеев Дмитрий Михайлович,"ЗЕТА-ТОРГ ООО, Казань",40399.35,3,2
Дубойский Александр Николаевич,ПружаныТрейд ООО (БЕЛАРУСЬ),2279960.00,0,1
Поздеев Дмитрий Михайлович,"РО-КОМ ООО, Саратов",176774.79,5,3
Поздеев Дмитрий Михайлович,ГАММАКОМ ООО,312133.68,2,0
Столяров Владимир Викторович,ТАУЭНЕРГО ООО,130554.00,1,0
Лапаткова Мария Александровна,ИпсилонТранс ТОО (ТУРКМЕНИСТАН),251263.77,4,1
Устинова Мария Александровна,ЭкваторТранс ТОО,87044.24,0,2
Лапаткова Мария Александровна,РОДНИК ООО,7965.60,0,1
Марина Кондратьева,ФАЭТОН ООО,151907.34,1,0
Муравлёв Андрей Петрович,ИПСИЛОН-ТОРГ ООО,179014.21,4,1
Андреев Алексей Николаевич,ИПСИЛОНКОМ ООО,90090.00,0,1
Нечесова Наталья Валерьевна,КобринЭнерго ТОО (БЕЛАРУСЬ),21481461.98,4,4
Самохина Александра Владимировна,БЕТА-ТЕХ ООО,462778.88,1,0
Стешина Оксана Александровна,СенненскийСтрой ТОО (БЕЛАРУСЬ),24676.20,2,1
Поздеев Дмитрий Михайлович,"ЛАМБДА-ЭНЕРГО ООО, Уфа",13610.83,0,2
Муравлёв Андрей Петрович,БорисовКонсалт ТОО (КАЗАХСТАН),15300.00,1,1
Марина Кондратьева,КиевТранс АО (ГРУЗИЯ),96373.93,1,1
Чернышев Кирилл Анатольевич,ЦЕНТРСТРОЙ ООО,1021094.64,2,0
Нечесова Наталья Валерьевна,ТываТрейд АО,32984.59,1,1
Лапаткова Мария Александровна,РЕЗОНАНС ООО,99028.00,2,0
Чекмарёв Андрей Анатольевич,ЖЕЛЕЗНОДОРОЖНЫЙ ООО,658.80,0,1
